PMID	Year	Abstract
30220108	2018	"""Upland cotton (Gossypium hirsutum) is the world's largest source of natural fiber and dominates the global textile industry. Hybrid cotton varieties exhibit strong heterosis that confers high fiber yields, yet the genome-wide effects of artificial selection that have influenced Upland cotton during its breeding history are poorly understood. Here, we re-sequenced Upland cotton genomes and constructed a variation map of an intact breeding pedigree comprising seven elite and 19 backbone parents. Compared to wild accessions, the 26 pedigree accessions underwent strong artificial selection during domestication that has resulted in reduced genetic diversity but stronger linkage disequilibrium and higher extents of selective sweeps. In contrast to the backbone parents, the elite parents have acquired significantly improved agronomic traits, with an especially pronounced increase in the lint percentage. Notably, identify by descent (IBD) tracking revealed that the elite parents inherited abundant beneficial trait segments and loci from the backbone parents and our combined analyses led to the identification of a core genomic segment which was inherited in the elite lines from the parents Zhong 7263 and Ejing 1 and that was strongly associated with lint percentage. Additionally, SNP correlation analysis of this core segment showed that a nonsynonymous SNP (A-to-G) site in a gene encoding the cell-wall-associated receptor-like kinase 3 (GhWAKL3) protein was highly correlated with increased lint percentage. Our results substantially increase the valuable genomics resources available for future genetic and functional genomics studies of cotton and reveal insights that will facilitate yield increases in the molecular breeding of cotton. This article is protected by copyright. All rights reserved."""
30220106	2018	'Mounting evidence points to increased rates of cardiovascular disease (CVD) among people living with HIV/AIDS (PLWHA). Endothelial dysfunction (loss of endothelium-dependent vascular relaxation in response to pro-vasodilatory stimuli) constitutes an early pathophysiological event in atherogenesis and CVD. Both HIV-1 infection and antiretroviral therapy (ART) are implicated in the development of endothelial dysfunction; however, conclusions are frequently drawn from associations shown in epidemiological studies. In this narrative review of mainly in vitro and animal studies, we report on the current understanding of how various HIV-1 proteins, HIV-1-induced proinflammatory cytokines and common antiretroviral drugs directly impact vascular endothelial cells. Proposed cellular mechanisms underlying the switch to a dysfunctional state are discussed, including oxidative stress, impaired expression and regulation of endothelial nitric oxide (NO) synthase (eNOS) and increased expression of vascular adhesion molecules. From the literature, it appears that increased reactive oxygen species (ROS) production, linked to decreased NO bioavailability and ensuing endothelial dysfunction, may be proposed as a putative final common pathway afflicting the vascular endothelium in PLWHA. The HIV-1-proteins Tat, Gp120 and Nef in particular, the pro-inflammatory cytokine, TNF-α, and the antiretroviral drugs Efavirenz and Lopinavir, most commonly postulated to be primary causal agents of endothelial dysfunction, are also discussed. We conclude that, despite existing evidence from basic research papers, a significant gap remains in terms of the exact underlying cellular mechanisms involved in HIV-1 and ART induced endothelial dysfunction. Bridging this gap could help pave the way for future strategies to prevent and treat early cardiovascular changes in PLWHA. This article is protected by copyright. All rights reserved.'
30220089	2018	'Accumulation of reactive oxygen species (ROS) is a general plant basal defense strategy against viruses. In this study, we showed that infection by Citrus tristeza virus (CTV) triggered ROS burst in Nicotiana benthamiana and in the natural citrus host, the extent of which was virus-dose dependent. Using Agrobacterium-mediated expression of CTV-encoded proteins in N. benthamiana, we found that p33, a unique viral protein, contributed to the induction of ROS accumulation and programmed cell death. The role of p33 in CTV pathogenicity was dissected by the gene knockout and complementation in N. benthamiana. In the citrus-CTV pathosystem, deletion of the p33 open reading frame in a CTV variant resulted in a significant decrease in ROS production, compared to that of the wild type CTV, which correlated with the invasion of the mutant virus into the immature xylem tracheid cells and abnormal differentiation of the vascular system. In contrast, the wild type CTV exhibited phloem-limited distribution and minor effect on the vasculature. We conclude that the p33 protein is a CTV effector that negatively affects virus pathogenicity and suggest that the plant recognizes p33 to activate the host immune response to restrict CTV into the phloem tissue and minimize the disease syndrome. This article is protected by copyright. All rights reserved.'
30220083	2018	'B7 family members and their receptors play a central role in the regulation of T cell responses through T cell costimulation and coinhibition pathways that constitute very attractive targets for the development of immunotherapeutic drugs. In this study, we report that VSIG-3/IGSF11 is a ligand of B7 family member VISTA/PD-1H and inhibits human T cell functions through a novel VSIG-3/VISTA pathway. An extensive functional ELISA binding screening assay reveals that VSIG-3 does bind to the new B7 family member VISTA but does not interact with other known members of the B7 family. Under the same experimental condition, we did not observe any significant interaction between VSIG-8 and VISTA. In addition, VSIG-3 inhibits human T cell proliferation in the presence of T cell receptor signaling. Furthermore, VSIG-3 significantly reduces cytokine and chemokine production by human T cells including IFN-γ, IL-2, IL-17, CCL5/Rantes, CCL3/MIP-1α, and CXCL11/I-TAC. Anti-VISTA neutralization antibodies attenuate the binding of VSIG-3 and VISTA, as well as VSIG-3 induced T cell inhibition. Thus, we have identified a novel ligand for VISTA that is able to inhibit human T cell proliferation and cytokine production. This unique VSIG-3/VISTA coinhibitory pathway may provide new strategies for the treatment of human cancers, autoimmune disorders, infection, and transplant rejection and may aid in the design of better vaccines. This article is protected by copyright. All rights reserved.'
30220059	2018	'Astrocytes express N-methyl-D-aspartate (NMDA) receptor (NMDAR) but its functions in these cells are not well defined. This study shows that the sustained exposure (8-72\xa0h) of mouse astrocytes to NMDA decreases the expression of the functional astroglia-specific proteins, glutamine synthetase (GS), and the water channel protein aquaporin-4 (AQP4) and also reduces GS activity. Similar to rat astrocytes (Obara-Michlewska et al. Neurochem Int 88:20-25, 2015), the exposure of mouse astrocytes to NMDA also decreased the expression of the inward rectifying potassium channel Kir4.1. NMDA failed to elicit the effects in those cells incubated in the absence of Ca and in those in which the GluN1 subunit of the NMDAR was silenced with GluN1 siRNA. The downregulation of GS, AQP4, and Kir4.1 observed in vitro may reflect NMDAR-mediated alterations of astrocytic functions noted in central nervous system pathologies associated with increased glutamate (Glu) release and excitotoxic tissue damage.'
30220058	2018	'Rett syndrome (RTT) is a postnatal neurodevelopmental disorder that primarily affects girls, with 95% of RTT cases resulting from mutations in the methyl-CpG-binding protein 2 (MECP2) gene. Choline, a dietary micronutrient found in most foods, has been shown to be important for brain development and function. However, the exact effects and mechanisms are still unknown. We found that 13\xa0mg/day (1.7\u2009× required daily intake) of postnatal choline treatment to Mecp2-conditional knockout mice rescued not only deficits in motor coordination, but also their anxiety-like behaviour and reduced social preference. Cortical neurons in the brains of Mecp2-conditional knockout mice supplemented with choline showed enhanced neuronal morphology and increased density of dendritic spines. Modelling RTT in vitro by knocking down the expression of the MeCP2 protein with shRNA, we found that choline supplementation to MeCP2-knockdown neurons increased their soma sizes and the complexity of their dendritic arbors. Rescue of the morphological defects could lead to enhanced neurotransmission, as suggested by an observed trend of increased expression of synaptic proteins and restored miniature excitatory postsynaptic current frequency in choline-supplemented MeCP2-knockdown neurons. Through the use of specific inhibitors targeting each of the known physiological pathways of choline, synthesis of phosphatidylcholine from choline was found to be essential in bringing about the changes seen in the choline-supplemented MeCP2-knockdown neurons. Taken together, these data reveal a role of choline in modulating neuronal plasticity, possibly leading to behavioural changes, and hence, a potential for using choline to treat RTT.'
30220054	2018	'PURPOSE: Metaplastic breast carcinomas are an aggressive subtype of triple-negative breast cancer (TNBC) in which part or all of the adenocarcinoma transforms into a non-glandular component (e.g., spindled, squamous, or heterologous). We discovered that mammary-specific Ccn6/Wisp3 knockout mice develop mammary\xa0carcinomas with spindle and squamous differentiation that share upregulation of the oncofetal proteins IGF2BP2 (IMP2) and HMGA2 with human metaplastic carcinomas. Here, we investigated the functional\xa0relationship between CCN6,\xa0IGF2BP2, and HMGA2 proteins\xa0in vitro and in vivo, and\xa0their expression in human tissue samples.\n\nMETHODS: MMTV-cre;Ccn6 tumors and spindle TNBC cell lines were treated with recombinant CCN6 protein or vehicle. IGF2BP2 was downregulated using shRNAs\xa0in\xa0HME cells with stable CCN6 shRNA knockdown, and subjected to invasion and adhesion assays.\xa0Thirty-one human\xa0metaplastic carcinomas\xa0were arrayed in a tissue microarray (TMA) and immunostained for CCN6, IGF2BP2, and HMGA2.\n\nRESULTS: CCN6 regulates IGF2BP2 and HMGA2 protein expression in MMTV-cre;Ccn6\xa0tumors, in MDA-MB-231 and -\u2009468, and in HME cells. CCN6 recombinant protein reduced IGF2BP2 and HMGA2 protein\xa0expression, and decreased growth of MMTV-cre;Ccn6 tumors in vivo. IGF2BP2 shRNA knockdown was sufficient to reverse the invasive abilities conferred by CCN6 knockdown in HME cells. Analyses of the TCGA Breast Cancer Cohort (n\u2009=\u20091238) showed that IGF2BP2 and HMGA2 are significantly upregulated in metaplastic carcinoma compared to other breast cancer\xa0subtypes. In clinical samples, low CCN6 is frequent in tumors\xa0with\xa0high IGF2BP2/HMGA2 with spindle and squamous differentiation.\n\nCONCLUSIONS: These data shed light into the pathogenesis of metaplastic carcinoma and demonstrate a novel CCN6/IGF2BP2/HMGA2 oncogenic pathway with biomarker and\xa0therapeutic implications.'
30220049	2018	"""Ensemble methods are gaining more importance in structure-based approaches as single protein-ligand complexes strongly influence the outcomes of virtual screening. Structure-based pharmacophore modeling based on a single protein-ligand complex with complex feature combinations is often limited to certain chemical classes. The REPHARMBLE (receptor pharmacophore ensemble) approach presented here examines the ability of an ensemble of selected protein-ligand complexes to populate pharmacophore space in the ligand binding site, rigorously assesses the importance of pharmacophore features using Poisson statistic and information theory-based entropy calculations, and generates pharmacophore models with high probabilities. In addition, an ensemble scoring function that combines all the resultant high-scoring pharmacophore models to score molecules is derived. The REPHARMBLE approach was evaluated on ten DUD-E benchmark datasets and afforded good screening performance, as measured by receiver operating characteristic, enrichment factor and Güner-Henry score. Although one of the high-scoring models achieved superior statistical results in each dataset, the ensemble scoring function balanced the shortcomings of each model and passed with close performance measures. This approach offers a reliable way of choosing the best-scoring features to build four-feature pharmacophore queries and customize a target-biased 'pharmacophore ensemble' scoring function for subsequent virtual screening."""
30220037	2018	'Advances in molecular techniques used in viral metagenomics coupled with high throughput sequencing is rapidly expanding our knowledge of plant-associated virus diversity. Applying such approaches, we have identified five novel circular replication-associated protein (Rep)-encoding single-stranded (CRESS) DNA viruses from Poaceae and Apiaceae plant from South Africa and New Zealand. These viruses have a simple genomic organization, including two open reading frames that likely encode a Rep and a capsid protein (CP), a conserved nonanucleotide motif on the apex of a putative stem loop structure, and conserved rolling-circle replication and helicase motifs within their likely Rep: all suggesting that they replicate through rolling-circle replication. The Reps and the CPs putatively encoded by these five novel viruses share low to moderate degrees of similarity (22.1 - 44.6%) with other CRESS DNA viruses.'
30220032	2018	"""A novel double-stranded RNA (dsRNA) virus, which was provisionally named Arthrocladiella mougeotii endornavirus (AmEV), was isolated from Arthrocladiella mougeotii, the phytopathogenic fungus infecting Lycium chinense in Beijing, China. The genome of AmEV is 11,683 nucleotides in length with a 5' and 3' non-coding region of 16 and 50 nt, respectively, as well as a single 11,617-nt long open reading frame potentially encoding a putative protein of 3,871 amino acids with conserved Helicase and RNA-dependent RNA polymerase (RdRp) domains. Phylogenetic analysis based on the the amino acid sequence of the RdRp showed that AmEV is most closely related to Erysiphe cichoracearum endornavirus (EcEV)."""
