source,target,weight
abl1,arh,0
abl1,atp8a2,0
abl1,bcl2l11,0
abl1,bcr,0
abl1,casp-3,0
abl1,ccr5,0
abl1,cd33,0
abl1,cd4,0
abl1,cdc2,0
abl1,cdc25c,0
abl1,cdk5r2,0
abl1,cdkn1a,0
abl1,cdkn1b,0
abl1,cflar,0
abl1,chek2,0
abl1,chuk,0
abl1,cldn5,0
abl1,cxcr4,0
abl1,dnch1,0
abl1,egf,0
abl1,egfr,0
abl1,eif4ebp1,0
abl1,eif4g1,0
abl1,eif4g2,0
abl1,elf3,0
abl1,elf4,0
abl1,epha3,0
abl1,ern1,0
abl1,fadd,0
abl1,fpr1,0
abl1,gabarap,0
abl1,gapd,0
abl1,gas2,0
abl1,gclc,0
abl1,gng11,0
abl1,gsk3b,0
abl1,hdac9,0
abl1,hoxa1,0
abl1,hspca,0
abl1,ifnalpha,0
abl1,ifng,0
abl1,ikbkb,0
abl1,il2,0
abl1,lamp2,0
abl1,lck,1
abl1,map2k1,0
abl1,mapk14,0
abl1,mapk8,0
abl1,mdcr,0
abl1,msh2,0
abl1,mtb,0
abl1,pax2,0
abl1,pbx1,0
abl1,pdcd8,0
abl1,pik3c3,0
abl1,pik3ca,0
abl1,pitx2,0
abl1,pmaip1,0
abl1,prkaa2,0
abl1,prkar1a,0
abl1,pten,0
abl1,rab7,0
abl1,raptor,0
abl1,rheb,0
abl1,rorc,0
abl1,rps6kb1,0
abl1,sac,0
abl1,snx13,0
abl1,src,1
abl1,stk11,0
abl1,sts1,0
abl1,syt1,0
abl1,tgm2,0
abl1,tnf,0
abl1,tnfrsf5,0
abl1,tnfrsf6,0
abl1,tnfsf5,0
abl1,tsc1,0
abl1,ulk1,0
abl1,uvrag,0
arh,atp8a2,0
arh,bcl2l11,0
arh,bcr,0
arh,casp-3,0
arh,ccr5,0
arh,cd33,0
arh,cd4,0
arh,cdc2,0
arh,cdc25c,0
arh,cdk5r2,0
arh,cdkn1a,0
arh,cdkn1b,0
arh,cflar,0
arh,chek2,0
arh,chuk,0
arh,cldn5,0
arh,cxcr4,0
arh,dnch1,0
arh,egf,0
arh,egfr,0
arh,eif4ebp1,0
arh,eif4g1,0
arh,eif4g2,0
arh,elf3,0
arh,elf4,0
arh,epha3,0
arh,ern1,0
arh,fadd,0
arh,fpr1,0
arh,gabarap,0
arh,gapd,0
arh,gas2,0
arh,gclc,0
arh,gng11,0
arh,gsk3b,0
arh,hdac9,0
arh,hoxa1,0
arh,hspca,0
arh,ifnalpha,0
arh,ifng,0
arh,ikbkb,0
arh,il2,0
arh,lamp2,1
arh,lck,0
arh,map2k1,0
arh,mapk14,0
arh,mapk8,0
arh,mdcr,0
arh,msh2,0
arh,mtb,0
arh,pax2,0
arh,pbx1,0
arh,pdcd8,0
arh,pik3c3,0
arh,pik3ca,0
arh,pitx2,0
arh,pmaip1,0
arh,prkaa2,0
arh,prkar1a,0
arh,pten,0
arh,rab7,0
arh,raptor,0
arh,rheb,0
arh,rorc,0
arh,rps6kb1,0
arh,sac,1
arh,snx13,1
arh,src,0
arh,stk11,0
arh,sts1,0
arh,syt1,0
arh,tgm2,0
arh,tnf,0
arh,tnfrsf5,0
arh,tnfrsf6,0
arh,tnfsf5,0
arh,tsc1,0
arh,ulk1,0
arh,uvrag,0
atp8a2,bcl2l11,0
atp8a2,bcr,0
atp8a2,casp-3,0
atp8a2,ccr5,0
atp8a2,cd33,0
atp8a2,cd4,0
atp8a2,cdc2,0
atp8a2,cdc25c,0
atp8a2,cdk5r2,0
atp8a2,cdkn1a,0
atp8a2,cdkn1b,0
atp8a2,cflar,0
atp8a2,chek2,0
atp8a2,chuk,0
atp8a2,cldn5,0
atp8a2,cxcr4,0
atp8a2,dnch1,0
